2:28;ALOMY_101803
2:20;ALOMY_101804
1:23;AGRRE_106812
1:17;AGRRE_106813
1:16;AGRRE_106814
1:22;AGRRE_106815
1:07;SORXX_126812
0:50;SORXX_126811
1:04;SORXX_126810
1:00;SORXX_126809
1:13;SORXX_126808
0:58;SORXX_126807
1:00;SORXX_126806
0:08;ZAMX_127820
0:12;ZAMX_127821
0:05;ZAMX_127822
0:08;ZAMX_127823
0:08;ZAMX_127824
0:06;ZAMX_127825
0:07;ZEAMX_127827
0:08;ZEAMX_127826
0:07;ZEAMX_127828
0:08;ZEAMX_127829
0:13;ZEAMX_127836
0:14;ZEAMX_127837
0:09;ZEAMX_127838
0:09;ZEAMX_139813
0:11;ZEAMX_139814
0:11;ZEAMX_139815
0:09;ZEAMX_139816
0:13;ZEAMX_139817
0:10;ZEAMX_139818
0:13;ZEAMX_139819
0:12;ZEAMX_139821
0:13;ZEAMX_139822
